id,type,question,answer,doc_ids,page,evidence,note
R01,fact,贵州茅台2023年的营业收入是多少亿元？,1476.94亿元,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,"147,693,604,994.14",真实年报 golden set 20260901
R02,fact,贵州茅台2023年归属于上市公司股东的净利润是多少亿元？,747.34亿元,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,"74,734,071,550.75",真实年报 golden set 20260901
R03,fact,贵州茅台2022年的营业收入是多少亿元？,1241.00亿元,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,"124,099,843,771.99",真实年报 golden set 20260901
R04,fact,平安银行2023年的营业收入是多少亿元？,1646.99亿元,000001/ndbg/000001_2024-03-15_2023年年度报告,,"164,699",真实年报 golden set 20260901
R05,fact,平安银行2023年归属于本行股东的净利润是多少亿元？,464.55亿元,000001/ndbg/000001_2024-03-15_2023年年度报告,,"46,455",真实年报 golden set 20260901
R06,fact,平安银行2023年末的不良贷款率是多少？,1.06%,000001/ndbg/000001_2024-03-15_2023年年度报告,,1.06%,真实年报 golden set 20260901
R07,table,贵州茅台2023年年度报告的利润分配方案中每10股派发现金红利多少元（含税）？,308.76元,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,308.76,真实年报 golden set 20260901
R08,table,平安银行2023年度利润分配预案中每10股派发现金股利多少元（含税）？,7.19元,000001/ndbg/000001_2024-03-15_2023年年度报告,,7.19,真实年报 golden set 20260901
R09,table,贵州茅台2023年主营业务分产品中毛利率最高的是哪个产品，毛利率是多少？,茅台酒，94.12%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,94.12,真实年报 golden set 20260901
R10,table,中国贵州茅台酒厂（集团）有限责任公司对贵州茅台的持股比例是多少？,54.07%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,54.07,真实年报 golden set 20260901
R11,calc,贵州茅台2023年酒类业务的整体毛利率是多少？,92.11%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,92.11,真实年报 golden set 20260901
R12,calc,平安银行2023年的加权平均净资产收益率（ROE）是多少？,11.38%,000001/ndbg/000001_2024-03-15_2023年年度报告,,11.38,真实年报 golden set 20260901
R13,calc,贵州茅台2023年经营活动产生的现金流量净额同比增减了多少？,增长81.46%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,81.46,真实年报 golden set 20260901
R14,compare,贵州茅台2023年营业收入比上年同期增长了多少？,增长19.01%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,19.01,真实年报 golden set 20260901
R15,compare,平安银行2023年营业收入比上年同期增减了多少？,减少8.4%,000001/ndbg/000001_2024-03-15_2023年年度报告,,8.4%,真实年报 golden set 20260901
R16,compare,贵州茅台2023年归属于上市公司股东的净利润比上年同期增长了多少？,增长19.16%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,19.16,真实年报 golden set 20260901
R17,multi_doc,对比贵州茅台2022年和2023年的营业收入,2022年1241.00亿元，2023年1476.94亿元,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告;600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,"124,099,843,771.99;147,693,604,994.14",真实年报 golden set 20260901
R18,multi_doc,对比平安银行2022年和2023年归属于本行股东的净利润,2022年455.16亿元，2023年464.55亿元,000001/ndbg/000001_2023-03-09_2022年年度报告;000001/ndbg/000001_2024-03-15_2023年年度报告,,"45,516;46,455",真实年报 golden set 20260901
R19,multi_doc,对比贵州茅台2022年和2023年归属于上市公司股东的净利润,2022年627.16亿元，2023年747.34亿元,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告;600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,"62,716,443,738.27;74,734,071,550.75",真实年报 golden set 20260901
R20,reject,贵州茅台2026年的股价会涨到多少？,应拒答,,,,真实年报 golden set 20260901
R21,reject,平安银行的股票现在值得买入吗？,应拒答,,,,真实年报 golden set 20260901
R22,reject,预测平安银行2025年的净利润是多少？,应拒答,,,,真实年报 golden set 20260901
